title,directions,Ingridents,link
Squirrel Jambalaya,"[""Cut squirrel into serving pieces and season well."", ""Saute in oil until brown; remove from skillet."", ""Saute onions, celery, garlic, green peppers and parsley in oil until wilted."", ""Put squirrel in until tender."", ""Add rice and water."", ""Stir thoroughly. Add salt, cook slowly about 30 minutes or until rice is cooked.""]","[""oil"", ""stalks celery"", ""water"", ""clove garlic"", ""onions"", ""squirrel"", ""parsley"", ""rice"", ""green pepper"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=1011577
Ritz Cracker Peanut Butter Fudge,"[""Heat sugar and evaporated milk over low heat three minutes. Remove from heat."", ""Add vanilla, peanut butter and cracker crumbs. Pour into buttered 9-inch square pan."", ""Cool."", ""Cut into squares.""]","[""sugar"", ""vanilla"", ""crackers"", ""peanut butter"", ""milk""]",www.cookbooks.com/Recipe-Details.aspx?id=867064
Stir-Grilled Fish Tacos,"[""Put halibut chunks in a bowl; sprinkle with cajun seasoning and toss to coat."", ""Transfer halibut to a well-greased grill wok (the kind with holes in it)."", ""Stir-grill over hot coals for 8-10 minutes, tossing while cooking."", ""In a big bowl, add cabbages; mix well."", ""In a smaller bowl, add vinegar, sour cream, green onions, and salt; stir to combine."", ""Add dressing mixture to cabbage; toss to coat well."", ""For each tortilla, fill with 1/3 cup cabbage mixture and 4-5 chunks of halibut; fold up and serve with lemon wedges, salsa, tartar sauce, guacamole, and a pitcher of margaritas.""]","[""cajun seasoning"", ""sour cream"", ""green onions"", ""flour tortillas"", ""green cabbage"", ""tartar sauce"", ""lemon wedge"", ""salsa"", ""red cabbage"", ""guacamole"", ""cider vinegar"", ""salt""]",www.food.com/recipe/stir-grilled-fish-tacos-54862
Smažený Sýr (Fried Cheese),"[""In the begining its good to wash the cheese so the flour would stick on the cheese better when dipping."", ""Now take three plates and put flour into one of them, egg and a little bit of milk (just to make it more smooth) and a hint of salt to the second one and the breadcrubs to the third one."", ""(you need to mix the egg with milk with a fork so you cant see the yolk, egg white and milk but a kind of orange liquid)"", ""Dip cheese slices into flour to form a light coating on all surfaces."", ""Dip each slice into lightly beaten egg and coat completely."", ""Dip each slice into breadcrumbs and coat completely, pat crumbs onto any areas that are not coated."", ""If needed repeat the point 4. and 5.- tastes better."", ""Pour oil into deep frying pan to a depth of 1/2 inch. Heat to 375 degrees F."", ""Carefully place slices in pan and fry on one side until golden-brown."", ""Turn and fry on the other side until golden brown. Pay attention so the cheese doesnt get out from the \""coat\""!"", ""Serve with french fries and tatar sauce/ketchup.""]","[""egg"", ""salt"", ""flour"", ""breadcrumbs"", ""milk"", ""vegetable oil"", ""edam cheese""]",www.food.com/recipe/sma-en-s-r-fried-cheese-392541
Chelo,"[""Wash the rice in cold water, then drain and place in a large bowl. Add about 8 cups of warm water. Allow to sit for 2-3 hours, covered."", ""After the rice has soaked, drain and reserve 6 cups of the water in a medium saucepan."", ""Boil water, then add rice and salt."", ""Cook for about 10 minutes, then remove from heat and drain."", ""Cover the bottom of the saucepan with vegetable oil, add the rice, then add 2 more tbsp vegetable oil on top."", ""Simmer on low for 20 minutes, or until rice is done.""]","[""vegetable oil"", ""basmati rice"", ""salt"", ""water""]",www.food.com/recipe/chelo-428732
Mexican Corn Pudding,"[""Combine all ingredients and pour in greased 9 x 13-inch casserole."", ""Bake for 40 to 50 minutes at 400\u00b0, until set in the middle."", ""Casserole should be set in pan of water for cooking, but if pan is too large for this, place a pan of water directly under casserole while baking.""]","[""mexican cheese"", ""green onions"", ""eggs"", ""green pepper"", ""flour"", ""cream-style"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=192916
To Die For Cowboy Cookies,"[""Sift together flour, baking powder, baking soda, and salt - set aside."", ""In a large bowl, cream margarine, oil, brown sugar, vanilla and white sugar until smooth. Beat in eggs one at a time."", ""Gradually stir in the sifted ingredients until well blended. Add oats and chips and mix."", ""Chill mixture for 2 hours."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Place cookies onto an ungreased cookie sheet using a teaspoon."", ""Bake for 10 to 12 minutes in preheated oven, or until edges are golden.""]","[""baking powder"", ""vanilla"", ""oats"", ""baking soda"", ""brown sugar"", ""eggs"", ""all-purpose"", ""margarine"", ""white sugar"", ""chocolate chips"", ""vegetable oil"", ""salt""]",tastykitchen.com/recipes/desserts/to-die-for-cowboy-cookies/
Thanksgiving Day Salad(Make The Day Before)  ,"[""Bring water to a boil in a saucepan over"", ""high heat."", ""Pour over the gelatin in a mixing bowl."", ""Stir to dissolve the gelatin. Add the strawberries and cranberry sauce, stirring to break up the sauce."", ""Stir in the nuts."", ""Pour into a pretty 2-quart ring mold."", ""Refrigerate overnight.""]","[""raspberry-flavored gelatin"", ""lettuce leaves"", ""pecan"", ""water"", ""cranberry sauce"", ""strawberries""]",www.cookbooks.com/Recipe-Details.aspx?id=178567
Crunchy Granola Over Plain Yogurt: Middle Eastern-Style,"[""Preheat the oven to 300 degrees."", ""In a large mixing bowl, stir together the oats, wheat germ, nuts, sesame and sunflower seeds, maple syrup/demerara or brown sugar, cinnamon, cardamom and salt."", ""Make a well in the dry ingredients and add the olive oil, agave or honey, and water. Toss the mixture until it is well combined, then spread it evenly on a cookie sheet."", ""Bake the granola until lightly browned, approximately 40 minutes, stirring every 10 minutes to keep the mixture from sticking."", ""Set aside to cool completely, then stir in the dried fruit."", ""Store left over granola in an airtight container in the refrigerator."", ""For 1 serving: Spoon yogurt into a serving bowl. Stir the rosewater or orange blossom water into the yogurt (start with a small amount then adjust)."", ""Top yogurt with some of the granola (about 1/2 cup give or take) and add a light drizzle of agave or honey."", ""Enjoy!""]","[""greek yogurt"", ""germ"", ""pistachios"", ""sesame seeds"", ""cinnamon"", ""dried fruit"", ""water"", ""syrup"", ""ground cardamom"", ""walnuts"", ""maple syrup"", ""olive oil"", ""almonds"", ""rolled oats"", ""honey"", ""sunflower seeds"", ""salt""]",www.food.com/recipe/crunchy-granola-over-plain-yogurt-middle-eastern-style-455797
One Hour Shrimp Paella,"[""Heat oil in heavy large skillet over medium-high heat."", ""Add smoked ham, onions and bell pepper, and saute until golden brown, about 8 minutes."", ""Stir in saffrom and paprika, then 3 cups of broth, and rice."", ""Bring to boil."", ""Sprinkle with salt and pepper."", ""Reduce heat to low, cover, and simmer until rice is almost tender, about 15 minutes."", ""Nestle shrimp into rice, top with olives, and drizzle with 1/4 cup broth to moisten."", ""Cover and cook until shrimp are just opaque in center, about 6 minutes."", ""Season to taste with more salt and pepper.""]","[""spanish hot paprika"", ""saffron"", ""ham"", ""pimento stuffed olive"", ""red bell pepper"", ""onions"", ""chicken broth"", ""arborio rice"", ""shrimp"", ""olive oil""]",www.food.com/recipe/one-hour-shrimp-paella-227459
Pasta Salad,"[""Cook and blanch pasta with salad oil."", ""Cool."", ""Cook together the sugar and vinegar."", ""Set aside to cool, then add ingredients and mix with cooled pasta."", ""Can be made one or two days ahead. (Use large shell mostaccioli noodles.)""]","[""vinegar"", ""sugar"", ""pepper"", ""salt"", ""salad oil"", ""pasta"", ""onion"", ""parsley flakes"", ""garlic powder"", ""cucumber"", ""green pepper"", ""pimento""]",www.cookbooks.com/Recipe-Details.aspx?id=871235
Sherried Winter Squash Soup,"[""Combine all ingredients except parsley, sherry, salt and pepper in a slow cooker."", ""Cook on high 4-5 hours, adding parsley during last 20 minutes."", ""Stir in sherry, salt and pepper to taste before serving.""]","[""potatoes"", ""tomatoes"", ""butternut squash"", ""onion"", ""vegetable stock"", ""basil"", ""thyme"", ""celery"", ""parsley"", ""salt""]",www.food.com/recipe/sherried-winter-squash-soup-407593
Spicy Apple Pancake/Fritters,"[""Mix all ingredients together well."", ""Use a 1/4 cup to scoop up mix and fry in butter, soy butter, oil, non-stick spray, etc."", ""just like you would a pancake."", ""I used avocado butter, but I live in New Zealand now where everything is avocado."", ""Keep finished cakes warm in oven on low till all mix is used."", ""Top with whatever you want."", ""Eat."", ""They go down best when you eat them with someone you love.""]","[""cumin"", ""wholemeal flour"", ""vanilla"", ""nonfat milk"", ""nutmeg"", ""eggs"", ""cinnamon"", ""red apple"", ""sugar substitute""]",www.food.com/recipe/spicy-apple-pancake-fritters-223781
Pistachio Nut Dessert,"[""Mix flour, margarine and sugar together with nuts."", ""Press into a 9 x 13-inch Pyrex pan. Bake at 375\u00b0 for 15 minutes; cool. Combine cream cheese, 10x sugar and 1/2 of Cool Whip."", ""Spread over bottom layer in pan."", ""Mix pudding with milk and stir until thickened."", ""Spread over layer."", ""Use remaining Cool Whip to cover pudding and sprinkle with nuts."", ""Refrigerate."", ""Serves 15.""]","[""sugar"", ""cream cheese"", ""flour"", ""nuts"", ""instant pistachio pudding"", ""margarine"", ""milk""]",www.cookbooks.com/Recipe-Details.aspx?id=728521
Za’Atar Dusted Tofu,"[""Drain tofu. Slice into 1/2 inch thick squares and then diagonally into triangles. Mix soy sauce, ginger, and cayenne in a container. Add tofu and refrigerate for a few hours to overnight."", ""On a flat dish, combine dry ingredients for za'atar flour rub."", ""Remove tofu from marinade and add to the dish a few at a time to coat the pieces with the flour mix. Then repeat, double dipping each triangle in the rub."", ""Heat coconut oil in a pan until hot. Add tofu to the oil and fry the first side until golden brown; then flip and repeat on the other side. Place on a paper towel-lined plate and then transfer to a serving dish.""]","[""flour rub"", ""soy sauce"", ""cayenne pepper"", ""tofu"", ""nutritional yeast"", ""coconut oil"", ""ginger powder"", ""white flour"", ""marinade"", ""salt""]",food52.com/recipes/29554-za-atar-dusted-tofu
Turkey Supper Dressing,"[""Boil turkey parts in 6 cups of water until tender."", ""Break bread into cubes."", ""Moisten bread with juice."", ""Add sage, onion, salt and beaten eggs."", ""Mix, kneading, until all is moist and blended, making dressing soft."", ""Add ground meat."", ""Mix well and put in 9 x 13-inch pan."", ""Bake for 1 hour at 350\u00b0."", ""Serves 20.""]","[""eggs"", ""onion"", ""loaves bread"", ""water"", ""turkey"", ""sage"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=636701
Texas Confetti Rice Salad,"[""In a large saucepan, bring the broth, rice and water to a boil. Reduce heat; cover and simmer for 15-18 minutes or until liquid is absorbed and rice is tender. Transfer to a large bowl; cool completely."", ""Stir in the turkey, tomatoes, corn, green pepper and onion. In a small bowl, whisk the oil, cilantro, chilies, vinegar, lime juice, mustard, cumin, garlic salt and pepper flakes. Pour over salad; toss to coat. Chill until serving. Just before serving, stir in avocado.""]","[""green chilies"", ""ground cumin"", ""tomatoes"", ""garlic salt"", ""red pepper"", ""avocado"", ""long grain rice"", ""water"", ""mustard"", ""turkey"", ""chicken broth"", ""olive oil"", ""lime juice"", ""white wine vinegar"", ""red onion"", ""green pepper"", ""fresh cilantro""]",www.tasteofhome.com/recipes/texas-confetti-rice-salad/
Red Cabbage Sweet & Sour,"[""Combine all ingredients in a 10-12 quart stainless steel soup pot."", ""Bring to a boil, stir, cover, and simmer over low heat, stirring occasionally--about 1 hour."", ""Salt to taste."", ""NOTE* replace with water and two beef bouillon cubes.""]","[""beef stock"", ""black pepper"", ""brown sugar"", ""red cabbage"", ""cider vinegar"", ""butter""]",www.food.com/recipe/red-cabbage-sweet-sour-187086
Angel Salad,"[""Dissolve Jell-O in hot water; cool."", ""Add pineapple, cheese, nuts and celery."", ""Chill until slightly jelled."", ""Fold in whipped cream."", ""Add coconut and marshmallows if desired."", ""Cool until firm.""]","[""jell-o"", ""water"", ""cream cheese"", ""nuts"", ""celery"", ""whipped cream"", ""pineapple""]",www.cookbooks.com/Recipe-Details.aspx?id=445543
Tomato Cracker,"[""Spread Philly* thickly over the crispbread."", ""Top with sliced tomato and garnish with basil leaves."", ""Serve immediately.""]","[""philadelphia"", ""basil"", ""tomato"", ""honey""]",www.kraftrecipes.com/recipes/tomato-cracker-103466.aspx
Catherine'S Fresh Fruit Pizza,"[""*(Fresh bananas, pineapple chunks, maraschino cherries, fresh oranges, peeled and cut into rounds, blueberries, strawberries and peaches.)""]","[""almond"", ""orange marmalade"", ""sugar cookie"", ""cream cheese""]",www.cookbooks.com/Recipe-Details.aspx?id=58778
Dactyls Of Greeting,"[""Soak almonds day before."", ""Remove the the seeds from dactyls and replace them with almonds.""]","[""almonds""]",www.yummly.com/recipe/Dactyls-Of-Greeting-1260576
Cherry Delight,"[""Place in a 9 x 13-inch pan in order and cook at 250\u00b0 until brown and bubbly.""]","[""pecans"", ""margarine"", ""coconut"", ""yellow cake mix"", ""cherry pie filling"", ""pineapple""]",www.cookbooks.com/Recipe-Details.aspx?id=450426
Eggs In Purgatory,"[""Melt butter in a medium skillet over medium heat. Add the onion and a pinch of salt and cook until the onions become translucent, about 8 minutes. Add garlic and cook 1 minute longer."", ""Crush the tomatoes and add them and their juices to the pan. Season with salt, pepper, and a pinch of crushed red pepper. Bring to boil and then reduce heat to maintain a simmer. Cook until thickened, 15 - 20 minutes."", ""Turn the heat up to medium and crack the eggs into the tomato sauce. Cover the pan and cook eggs for 3 minutes, or until done to your liking.""]","[""tomatoes"", ""black pepper"", ""unsalted butter"", ""eggs"", ""red pepper"", ""onion"", ""garlic"", ""salt""]",www.food.com/recipe/eggs-in-purgatory-360486
Orzo with Peas and Mint,"[""Cook the orzo according to package directions."", ""Melt the butter in a medium saucepan over medium heat."", ""Add the shallot and lemon zest, and saute until translucent."", ""Add the peas, and cook until bright green and tender, adding a little water if the shallots brown before peas are tender."", ""Add the cooked orzo, season with salt and pepper, and toss to combine."", ""Remove from heat, and stir in the mint.""]","[""salt"", ""mint"", ""lemon"", ""orzo"", ""fresh peas"", ""shallot"", ""unsalted butter""]",www.epicurious.com/recipes/food/views/orzo-with-peas-and-mint-392549
Our #1 Favorite Chocolate (Flourless) Cake Recipe cettlinger,"[""Melt the chocolate and butter in a bowl placed over a pot of boiling water, and stir until smooth."", ""Remove the bowl and let mixture coolthen stir in the liqueur."", ""In a large bowl beat the egg yolks with the sugar until ribbons form (about 10 minutes)."", ""In another large bowl, beat the egg whites until they barely hold stiff peaks."", ""Fold one third of the chocolate mixture into the yolk mixture, fold in one third of the whites, and fold in the remaining chocolate mixture and whites in the same manner."", ""Turn into a buttered-and-floured 10-inch springform pan and bake in a preheated 350 degree oven for 25 minutes, or until the edge has puffed (the center will not be set!)."", ""Cool, and chill, covered loosely, for at least 4 hours and up to 48 hours."", ""I always make the cake the night before, and I take it out of the refrigerator when we sit down to begin dinner (thats the consistency I love, but you be your own judge)."", ""I serve it with a big dollop of freshly whipped cream, usually without any confectioners sugar and sometimes with a bit of cocoa powder.""]","[""semi-sweet chocolate"", ""sugar"", ""bittersweet chocolate"", ""eggs"", ""t"", ""butter""]",www.chowhound.com/recipes/1-favorite-chocolate-flourless-cake-14636
Stuffed Baked Orange With Yams,"[""Cook yam until tender, peel and beat smooth."", ""Add margarine. Mix other dry ingredients together and set aside."", ""Squeeze the juice from oranges."", ""Cut oranges in half and set aside."", ""Add dry ingredients to yams."", ""Add milk and vanilla."", ""Mix well."", ""In each orange half stuff yam mix to top."", ""Bake at 350\u00b0 until light brown on top of yams.""]","[""sugar"", ""vanilla"", ""eggs"", ""flour"", ""margarine"", ""oranges"", ""milk"", ""allspice"", ""yams""]",www.cookbooks.com/Recipe-Details.aspx?id=492663
Mike Hargrove'S Sausage Egg Bake ,"[""1. Brown sausage 3-5 minutes, crumbling as you go. Allow to cool."", ""2. In a large bowl beat eggs and milk. Add mustard, salt, pepper, and bread cubes. Mix well."", ""3. Fold in cheese and sausage. (You could also add other veggies, mushrooms, peppers, chives or spinach.)"", ""4. Grease a 9 x 13 baking dish and pour in mixture. Cover and let stand in refrigerator overnight."", ""5. Uncover and bake at 350 for 60 minutes.""]","[""milk"", ""pepper"", ""eggs"", ""italian"", ""peppers"", ""mustard"", ""cheddar"", ""sausage"", ""salt""]",www.epicurious.com/recipes/member/views/mike-hargroves-sausage-egg-bake-51671651
Cinnamon Pinwheels,"[""Whisk the flour, baking powder and salt in a medium bowl."", ""Beat the butter and granulated sugar in a large bowl with a mixer on medium-high speed until light and fluffy, 3 to 5 minutes."", ""Beat in the egg and vanilla until incorporated."", ""Reduce the mixer speed to low; add the flour mixture and beat until just combined."", ""Remove half of the dough and wrap in plastic wrap."", ""Add the cinnamon extract, cocoa powder and food coloring to the remaining dough and beat until incorporated; wrap in plastic wrap."", ""Refrigerate both pieces of dough until firm, about 1 hour."", ""Dust the dough with flour and roll out each piece on parchment paper into a 10-by-11-inch rectangle."", ""Flip the red dough on top of the plain dough; remove the top piece of parchment and trim the edges."", ""Sprinkle the ground cinnamon and sanding sugar on top."", ""Starting from a short end, tightly roll up the dough, using the parchment to help; roll the log in sanding sugar."", ""Wrap in plastic wrap and refrigerate until firm, at least 3 hours or overnight."", ""Position racks in the upper and lower thirds of the oven and preheat to 350 degrees F. Line 2 baking sheets with parchment."", ""Slice the log crosswise 1/4 inch thick; arrange the slices about 1 1/2 inches apart on the baking sheets."", ""Bake, switching the position of the pans halfway through, until slightly puffed and lightly golden on the bottom, 12 to 15 minutes."", ""Let cool 5 minutes on the baking sheets, then transfer to racks to cool."", ""Photograph by Johnny Miller""]","[""egg"", ""baking powder"", ""vanilla"", ""salt"", ""granulated sugar"", ""red food coloring"", ""cinnamon"", ""sanding sugar"", ""flour"", ""cocoa"", ""ground cinnamon"", ""unsalted butter""]",www.foodnetwork.com/recipes/food-network-kitchens/cinnamon-pinwheels-recipe.html
Mom'S Chili,"[""Saute butter, celery and ground chuck."", ""Drain grease; add tomatoes, sauce, salt, sugar and chili powder."", ""Simmer 1 hour. Add beans."", ""Simmer 15 minutes.""]","[""kidney beans"", ""sugar"", ""tomatoes"", ""salt"", ""chili powder"", ""celery"", ""ground chuck"", ""butter"", ""tomato sauce""]",www.cookbooks.com/Recipe-Details.aspx?id=644864
Breton Brittle,"[""1. Completely line 13x9-inch baking pan with foil."", ""2. Arrange a single layer of crackers over bottom of pan."", ""3. Arrange a second layer of crackers to cover spaces be- tween crackers in first layer. (It will be necessary to break some crackers in half so that the entire bottom of pan is covered.)"", ""4. In a medium saucepan, combine sugar and butter. Cook and stir over medium heat until mixture comes to a boil. Remove from heat; pour evenly over crackers in pan."", ""5. Bake in a 400F oven for 5 minutes. Remove from oven; sprinkle with chocolate chips."", ""6. When chips are soft, spread over top."", ""7. Sprinkle with nuts."", ""8. Chill until chocolate is set."", ""9. Break into pieces to serve."", ""Store in refrigerator.""]","[""crackers"", ""brown sugar"", ""nuts"", ""chocolate chips"", ""butter""]",tastykitchen.com/recipes/desserts/breton-brittle/
Fresh Strawberry Pie,"[""Cook sugar, water and cornstarch until thick."", ""Add jello and cool."", ""Add sliced berries."", ""Pour into pie shell and top with Cool Whip."", ""Refrigerate until firm.""]","[""sugar"", ""shell"", ""fresh strawberries"", ""water"", ""cornstarch"", ""strawberry jello""]",www.cookbooks.com/Recipe-Details.aspx?id=190509
Raspberry Oatmeal Squares,"[""Preheat oven to 350 degrees. Grease a 9x9 pan."", ""Cream butter and sugar until light and fluffy. Add egg and vanilla and continue beating until combined."", ""In a separate mixing bowl, combine flour, baking soda and salt. Add to the creamed butter mixture and mix until well combined. Stir in 1 3/4 cups of oats."", ""Press 2/3 of the dough into the bottom on the 9x9 pan. Spread raspberry jam over the oatmeal base. Add 1/4 cup of oats to the remaining dough. Crumble mixture evenly over the top of the raspberry jam."", ""Bake for 25 to 30 minutes or until golden brown. Cut into squares when cool. Store leftovers in refrigerator.""]","[""egg"", ""vanilla"", ""oats"", ""brown sugar"", ""baking soda"", ""\u00bc"", ""raspberry"", ""flour"", ""butter""]",tastykitchen.com/recipes/desserts/raspberry-oatmeal-squares/
Cheese Strata,"[""Cut 12 circles from bread slices with large doughnut cutter; set aside."", ""Fit the scraps of bread in bottom of 9 x 13-inch baking dish."", ""Place cheese in a layer over bread."", ""Add a layer of broccoli, then ham."", ""Arrange bread circles on top."", ""Combine remaining ingredients."", ""Pour over bread."", ""Cover and refrigerate at least 6 hours or overnight."", ""Bake uncovered at 325\u00b0 for 55 minutes. For a pretty finish, sprinkle with shredded cheese 5 minutes before end of baking time."", ""Let stand 10 minutes before cutting.""]","[""american cheese"", ""eggs"", ""onion"", ""ham"", ""broccoli"", ""milk"", ""white bread"", ""dry mustard"", ""salt""]",www.cookbooks.com/Recipe-Details.aspx?id=960647
Chicken Wild Rice Soup From The Pastor'S Wife,"[""Combine broth and water. Add wild rice and onion. Simmer, covered, 35-40 minutes until rice is tender."", ""In a separate saucepan, melt butter on low heat and stir in flour, salt, chicken seasoning and pepper."", ""Stir constantly, to prevent burning, until smooth and bubbly."", ""Add half anf half and cook until thickens-about 2 minutes."", ""Slowly add half and half mixture to the rice, stirring constantly."", ""Add remaining ingredients, stirring until thoroughly heated."", ""Add water at the end if you find this to be too thick.""]","[""pimiento"", ""bacon"", ""condensed chicken"", ""pepper"", ""green onion"", ""wild rice"", ""water"", ""flour"", ""poultry seasoning"", ""chicken"", ""sherry"", ""butter"", ""salt""]",www.food.com/recipe/chicken-wild-rice-soup-from-the-pastors-wife-279889
Spinach Salad With Hot Bacon Dressing ,"[""1. Fry bacon in Dutch oven over medium-high heat until crisp, about 7 minutes. Using slotted spoon, transfer bacon to paper-towel-lined plate and pour off all but 1/4 cup bacon fat. Place spinach in large bowl next to stove."", """", ""2. Return pot to medium-high heat and cook onion, garlic, salt, pepper, and sugar until onion is softened, about 3 minutes. Working quickly, add vinegar and mustard and scrape bottom of pot with wooden spoon to loosen browned bits. Remove pot from heat, add spinach, and cover, allowing spinach to steam until just beginning to wilt, about 15 seconds."", """", ""3. Transfer steamed spinach and hot dressing to empty bowl and toss lightly with tongs. Divide salad among individual plates and garnish with reserved bacon and eggs (if using). Serve.""]","[""bacon"", ""sugar"", ""eggs"", ""mustard"", ""curly-leaf spinach"", ""ground black pepper"", ""cider vinegar"", ""garlic"", ""red onion"", ""salt""]",www.epicurious.com/recipes/member/views/spinach-salad-with-hot-bacon-dressing-50026260
Strawberry Shortcake Fudge,"[""Combine the cookie crumbs and melted butter. Stir until well mixed. Press firmly into the bottom of an 8x8 pan that has been lined with parchment paper."", ""In a large sauce pan, combine 3 cups white chocolate chips, butter, salt, and sweetened condensed milk. Stir until melted and smooth. Add the marshmallow cream and frosting creations packets. Stir until melted and smooth again."", ""Pour the hot fudge on top of the crust. Let set completely in the refrigerator for a few hours. Bring to room temperature before cutting. Cut into 49 squares."", ""Place the remaining 1/4 cup white chocolate chips and shortening in a microwave safe bowl. Heat for 30 seconds. Stir and repeat until melted and smooth. Place in plastic bag and cut off one tip. Drizzle over fudge squares. Top with sprinkles if desired."", ""Store on the counter in a sealed container for up to 5 days.""]","[""shortening"", ""marshmallow cream"", ""white chocolate chips"", ""shortbread"", ""duncan"", ""milk"", ""sprinkles"", ""butter"", ""salt""]",tastykitchen.com/recipes/desserts/strawberry-shortcake-fudge/
Hearty Reuben Salad,"[""In a large salad bowl, combine the lettuce, sauerkraut, cheese, corned beef and parsley. Drizzle with dressing; toss to coat. Garnish with croutons and eggs. Serve immediately.""]","[""rye croutons"", ""eggs"", ""swiss cheese"", ""torn iceberg lettuce"", ""parsley"", ""salad dressing"", ""beef"", ""sauerkraut""]",www.tasteofhome.com/recipes/hearty-reuben-salad/
Hot Sausage and Bean Stew,"[""Combine all ingredients except sausage in crockpot."", ""Meanwhile lightly brown sausage in a skillet over medium heat."", ""Drain off fat."", ""Add browned sausaged to bean mixture."", ""Cover."", ""Cook LOW 8-9 hours or until beans are tender.""]","[""tomatoes"", ""jalapeno"", ""chili powder"", ""onion"", ""water"", ""pork sausage"", ""beans"", ""garlic"", ""fresh cilantro""]",www.food.com/recipe/hot-sausage-and-bean-stew-149496
Quick Taco Casserole,"[""Brown meat and onions in skillet."", ""Add taco seasoning mix, mushroom soup and Ro-Tel tomatoes."", ""Place chips in medium size casserole dish."", ""Add meat mixture."", ""Top with grated Cheddar cheese."", ""Bake in 350\u00b0 oven until cheese is melted.""]","[""taco chips"", ""cream of mushroom soup"", ""cheddar cheese"", ""taco seasoning mix"", ""onions"", ""hamburger"", ""ro-tel tomatoes""]",www.cookbooks.com/Recipe-Details.aspx?id=1063865
Roast Beef And Cheese Roll Ups,"[""Preheat oven to 375 degrees F (190 degrees C)."", ""In a large bowl, combine the ricotta cheese, egg, garlic powder, onion powder, Italian-style seasoning and half the mozzarella cheese and mix well. Place a spoonful of mixture onto a slice of roast beef and roll. Repeat with remaining beef."", ""Spread 1/2 cup of the spaghetti sauce on the bottom of a 9x13 inch casserole dish. Place the beef rolls in the baking dish seam side down. Pour the remaining sauce over the beef rolls."", ""Bake covered at 375 degrees F (190 degrees C) for 40 minutes, add the remaining mozzarella cheese over the top and bake for an additional 3 minutes, uncovered, until cheese is melted.""]","[""egg"", ""mozzarella cheese"", ""onion powder"", ""deli"", ""ricotta cheese"", ""spaghetti sauce"", ""garlic"", ""italian-style seasoning""]",www.allrecipes.com/recipe/16396/roast-beef-and-cheese-roll-ups/
Ice Cream,"[""Mix together and put in ice cream machine.""]","[""sugar"", ""vanilla"", ""eggs"", ""milk"", ""cream""]",www.cookbooks.com/Recipe-Details.aspx?id=697708
Poutine Cake,"[""Preheat oven to 350\u00b0. Line bottoms of two greased 8-in. round baking pans with parchment; grease paper."", ""In a large bowl, whisk flour, sugar, baking cocoa, baking soda, baking powder and salt. In another bowl, whisk eggs, oil and vanilla; stir into flour mixture. Stir in boiling water; batter will be thin."", ""Transfer to prepared pans. Bake until a toothpick inserted in center comes out clean, 30-35 minutes. Cool in pans 10 minutes before removing to wire racks; remove paper. Cool completely."", ""For frosting, in a large bowl, beat butter until creamy. Beat in milk, vanilla and salt. Gradually beat in confectioners' sugar until smooth. Spread frosting between cake layers and over top and sides of cake. Using cookies, decorate cake as desired to look like french-fried potatoes. Drop candy coating by tablespoonfuls to resemble cheese curds. Drizzle with ice cream topping to resemble gravy.""]","[""coating"", ""baking powder"", ""sugar"", ""vanilla"", ""unsalted butter"", ""baking cocoa"", ""cookies"", ""baking soda"", ""eggs"", ""canola oil"", ""all-purpose"", ""milk"", ""boiling water"", ""butterscotch-caramel ice cream topping"", ""salt""]",www.tasteofhome.com/recipes/poutine-cake/
Mini Frittatas With Mascarpone & Bacon ,"[""Preheat oven to 375\u00b0. Lightly grease 6 muffin cups with non-stick spray or olive oil; set aside."", ""In a medium bowl, add eggs, mascarpone, salt & pepper. Whisk until smooth and add cheese, bacon and parsley."", ""Add mixture to the 6 prepared cups, filling almost to the top. Bake 20-25 minutes until tops are puffed and golden brown."", """", """", """", ""I adapted this from www.wishfulchef.com and subbed the bacon for prosciutto. I also use sour cream if I don't have any mascarpone.""]","[""bacon"", ""pepper"", ""eggs"", ""\u00bc"", ""parsley"", ""mascarpone cheese"", ""ingredients""]",www.epicurious.com/recipes/member/views/mini-frittatas-with-mascarpone-bacon-51956101
Rainbow Jello Dessert,"[""Mix 1 packet of jello; follow directions on box, but instead of cold water, mix in 9 tablespoons of vanilla ice cream."", ""Let set, then continue with other flavors the same way."", ""When all flavors are layered and set, take out of pan,"", ""place on a plate and cover with whipped cream."", ""Slice and serve.""]","[""flavors jello"", ""vanilla ice cream""]",www.cookbooks.com/Recipe-Details.aspx?id=898015
Old Time Ham Salad (For Sandwiches),"[""Run all ingredients, except mayonnaise and Karo syrup, through a meat grinder. Add the mayonnaise and Karo syrup to the blend and mix with a spoon until ingredients are uniformly incorporated. Refrigerate."", ""Serve cold on fresh buns or bread along with leaf lettuce.""]","[""american cheese"", ""bologna"", ""ham"", ""pimientos"", ""syrup"", ""celery"", ""mayonnaise"", ""sweet pickles""]",www.food.com/recipe/old-time-ham-salad-for-sandwiches-249250
Pineapple Coconut Filling,"[""Mix flour and pineapple."", ""Cook until it thickens. Let cool.""]","[""sugar"", ""cream cheese"", ""flour"", ""margarine"", ""coconut"", ""pineapple""]",www.cookbooks.com/Recipe-Details.aspx?id=1040041
